index,Formula,sim_cell,PBE_LC,PBE_bgType,PBE_bg_eV,PBE_dbg_eV,PBE_FormE_eV,PBE_DecoE_eV,dielc,PV_FOM,SLME_5um,SLME_100um,HSE_LC,HSE_bgType,HSE_bg_eV,HSE_dbg_eV,HSE_FormE_eV,HSE_DecoE_eV
63,RbGeI3,2x2x2,5.96778,Direct,0.58,0.5807,-3.95125,2.39475,15.5952,5.65276,0.136699,0.169484,6.07688,Direct,1.2609,1.2609,-4.09692,2.44308
64,RbGeBr3,2x2x2,5.5721,Direct,0.676,0.6763,-5.43831,-0.130313,10.8457,5.53282,0.141974,0.213812,5.6581,Direct,1.4825,1.4825,-5.63972,-0.0397224
65,RbGeCl3,2x2x2,5.29803,Direct,0.972,0.9724,-6.51848,-0.299476,7.1438,5.38646,0.173977,0.30308,5.35153,Direct,1.8034,1.8034,-6.51147,-0.0214687
66,RbSnI3,2x2x2,6.24783,Direct,0.407,0.4072,-4.49871,2.28629,17.8922,5.56005,0.0680347,0.086842,6.3709,Direct,1.1268,1.1268,-4.75694,2.35306
67,RbSnBr3,2x2x2,5.8544,Direct,0.567,0.5672,-5.98291,-0.0559068,10.626,5.43768,0.106345,0.16454,5.95337,Direct,1.3956,1.3956,-6.2806,0.0293987
68,RbSnCl3,2x2x2,5.58498,Direct,0.919,0.9198,-7.03942,-0.10142,6.3593,5.33135,0.162195,0.292588,5.64864,Direct,1.7494,1.7494,-7.11285,-0.0228528
69,RbPbI3,2x2x2,6.37513,Direct,1.459,1.4595,-4.80029,2.51571,6.3917,5.47173,0.221188,0.320261,6.43722,Direct,2.1466,2.1466,-5.3103,2.5197
70,RbPbBr3,2x2x2,5.97465,Direct,1.752,1.7525,-6.32092,0.0570777,4.8678,5.24546,0.157703,0.276684,6.02311,Direct,2.5591,2.5591,-6.8604,0.0695978
71,RbPbCl3,2x2x2,5.70283,Direct,2.182,2.1821,-7.40904,-4.43562e-05,3.9701,4.98667,0.0927297,0.187815,5.73967,Direct,3.0623,3.0623,-7.69943,0.0405657
72,KBaI3,2x2x2,6.75017,Direct,3.084,3.0844,-7.66947,3.20153,3.1962,4.22714,0.0091971,0.0366948,6.76987,Direct,4.0354,4.0354,-8.55483,3.26517
73,KBaBr3,2x2x2,6.31044,Direct,3.574,3.5747,-9.44499,0.788007,2.793,3.79029,0.00173448,0.00974757,6.31044,Direct,4.6964,4.6964,-10.359,0.850972
74,KBaCl3,2x2x2,6.01376,Direct,4.166,4.1664,-10.7205,3.37349,2.5359,3.29058,0.0,1.79468e-07,6.01376,Direct,5.4279,5.4279,-11.3697,3.43034
75,KSrI3,2x2x2,6.42718,Direct,3.17,3.1709,-7.67324,2.93376,3.3638,4.0945,0.00625234,0.0296401,6.42718,Direct,4.1325,4.1325,-8.52355,2.95645
76,KSrBr3,2x2x2,5.99648,Direct,3.71,3.7108,-9.58517,0.423827,2.895,3.63679,0.000601652,0.00526061,5.99648,Direct,4.8503,4.8503,-10.4631,0.446892
77,KSrCl3,2x2x2,5.69876,Direct,4.418,4.4181,-10.9885,2.89154,2.6055,3.16271,0.0,0.0,5.68319,Direct,5.7192,5.7192,-11.6113,2.92866
78,KCaI3,2x2x2,6.16875,Direct,3.258,3.258,-7.52206,2.88094,3.6642,4.19058,0.00537472,0.0251648,6.16875,Direct,4.2203,4.2203,-8.32931,2.89069
79,KCaBr3,2x2x2,5.69541,Direct,3.908,3.9081,-9.53344,0.161563,3.1426,3.52122,8.694e-05,0.00081655,5.69541,Direct,5.059,5.059,-10.3901,0.16992
80,KCaCl3,2x2x2,5.40489,Direct,4.745,4.7451,-11.038,2.56798,2.7937,3.16465,0.0,0.0,5.40489,Direct,6.0467,6.0467,-11.6497,2.58033
81,KGeI3,2x2x2,5.94517,Direct,0.537,0.5374,-3.74616,2.78484,16.5417,5.66183,0.122657,0.152717,6.06168,Direct,1.2328,1.2329,-3.89629,2.87371
82,KGeBr3,2x2x2,5.54749,Direct,0.618,0.6184,-5.24965,0.0433521,11.7585,5.54282,0.12911,0.184287,5.63987,Direct,1.4565,1.4565,-5.47891,0.131094
83,KGeCl3,2x2x2,5.27121,Direct,0.903,0.9039,-6.34648,2.35752,7.4327,5.40979,0.168758,0.285019,5.3287,Direct,1.7444,1.7445,-6.34708,2.65292
84,KSnI3,2x2x2,6.22981,Direct,0.37,0.3707,-4.26158,2.70842,19.7828,5.56894,0.0559334,0.068931,6.36057,Direct,1.1074,1.1074,-4.52934,2.81066
85,KSnBr3,2x2x2,5.83695,Direct,0.528,0.5281,-5.75359,0.158414,11.4498,5.44668,0.0978152,0.148793,5.94195,Direct,1.3728,1.3728,-6.05979,0.26021
