index,Formula,sim_cell,PBE_LC,PBE_bgType,PBE_bg_eV,PBE_dbg_eV,PBE_FormE_eV,PBE_DecoE_eV,dielc,PV_FOM,SLME_5um,SLME_100um,HSE_LC,HSE_bgType,HSE_bg_eV,HSE_dbg_eV,HSE_FormE_eV,HSE_DecoE_eV
165,Rb0.375MA0.625BaCl3,2x2x2,6.04089,Direct,4.839,4.8393,-11.368,0.250356,2.625,3.12385,0.0,0.0,,,,,,
166,Rb0.375Cs0.25MA0.375PbBr3,2x2x2,6.02329,Direct,2.025,2.0256,-6.47938,-0.0790039,4.5607,5.17215,0.122398,0.219662,6.11624,Indirect,3.5527,3.6879,-7.04979,-0.0497922
167,K0.25Rb0.125Cs0.125MA0.5SrI3,2x2x2,6.51353,Direct,3.613,3.6137,-8.10569,0.987183,3.33033,3.85972,0.00137703,0.00850259,6.50098,Direct,4.6195,4.6195,-9.00943,1.20307
168,K0.375Rb0.125MA0.5SrI3,2x2x2,6.51645,Direct,3.605,3.6051,-8.05653,1.32735,3.30623,3.86179,0.00141273,0.00869511,6.50366,Direct,4.6082,4.6082,-8.96435,1.5419
169,K0.25Rb0.25Cs0.125MA0.375SrBr3,2x2x2,6.05705,Direct,4.11,4.1105,-9.95081,0.0834439,2.917,3.38022,3.59011e-07,3.7372e-06,5.9539,Direct,5.5516,5.5516,-10.9687,-0.00492954
170,K0.375Rb0.25MA0.375SrBr3,2x2x2,6.05491,Direct,4.072,4.0727,-9.90017,0.123832,2.8955,3.38989,1.59966e-06,1.69879e-05,,,,,,
171,K0.5Cs0.125MA0.375SrBr3,2x2x2,6.05692,Direct,4.115,4.1158,-9.92192,0.108577,1.97677,3.15607,1.52105e-07,2.65511e-06,6.03995,Direct,5.2962,5.2962,-10.8535,0.112763
172,Rb0.125Cs0.125MA0.75SrBr3,2x2x2,6.07291,Direct,4.236,4.236,-10.0555,-0.011876,2.9741,3.35167,0.0,0.0,,,,,,
173,K0.375Cs0.25MA0.375SrCl3,2x2x2,5.75139,Direct,4.876,4.8767,-11.3358,1.42599,2.67613,3.09703,0.0,0.0,,,,,,
174,K0.625MA0.375SrCl3,2x2x2,5.74516,Direct,4.793,4.7936,-11.2465,1.70729,2.62733,3.09413,0.0,0.0,,,,,,
175,K0.375Cs0.125MA0.5SrCl3,2x2x2,5.75598,Direct,4.888,4.8886,-11.3227,1.2263,2.67677,3.09515,0.0,0.0,,,,,,
176,K0.25Rb0.25Cs0.125MA0.375CaI3,2x2x2,6.24854,Direct,3.639,3.6391,-7.82195,1.3438,3.63717,4.09958,0.00176373,0.00754262,,,,,,
177,K0.25Rb0.125Cs0.125MA0.5CaI3,2x2x2,6.25646,Direct,3.648,3.6484,-7.83898,1.0499,3.64547,4.10303,0.00169289,0.0071463,,,,,,
178,K0.375Rb0.125MA0.5CaI3,2x2x2,6.25585,Direct,3.634,3.6349,-7.78542,1.39446,3.62287,4.10479,0.00179387,0.00772522,6.16347,Indirect,4.8127,4.8182,-8.73006,1.51619
179,K0.375Cs0.125MA0.5CaI3,2x2x2,6.26041,Direct,3.649,3.649,-7.8179,1.0941,3.6325,4.10336,0.00169283,0.0071463,6.16905,Indirect,4.8327,4.8344,-8.76032,1.22093
180,Rb0.25Cs0.125MA0.625CaBr3,2x2x2,5.82097,Direct,4.284,4.2844,-9.81463,-0.0868813,3.19047,3.41715,0.0,0.0,,,,,,
181,K0.375Rb0.125Cs0.125MA0.375CaCl3,2x2x2,5.47946,Direct,5.083,5.0838,-11.1835,1.08963,2.8607,3.1463,0.0,0.0,,,,,,
182,K0.25Rb0.25MA0.5CaCl3,2x2x2,5.49688,Direct,5.08,5.0801,-11.173,0.57673,2.858,3.14409,0.0,0.0,5.44022,Direct,6.6019,6.6019,-11.8972,0.515293
183,Rb0.375Cs0.125MA0.5CaCl3,2x2x2,5.51192,Direct,5.094,5.0945,-11.2347,0.108396,2.88467,3.14549,0.0,0.0,5.46882,Direct,6.6053,6.6053,-11.942,0.0654797
184,Rb0.5MA0.5CaCl3,2x2x2,5.50303,Direct,5.069,5.0697,-11.2099,-0.0814395,2.87193,3.14387,0.0,0.0,5.465,Direct,6.5552,6.5552,-11.9195,-0.134549
185,CsBa0.125Pb0.875I3,2x2x2,6.44706,Direct,1.748,1.7481,-5.46254,0.131707,5.4578,5.33844,0.195903,0.277902,6.48545,Direct,2.4016,2.4017,-6.10379,0.0762146
186,CsBa0.25Pb0.75I3,2x2x2,6.49833,Direct,1.967,1.9674,-5.84927,0.166234,4.91513,5.22486,0.167219,0.232612,6.48443,Direct,2.5845,2.5845,-6.53619,0.113815
187,CsBa0.375Pb0.625I3,2x2x2,6.54757,Direct,2.282,2.2825,-6.24502,0.191734,4.44567,5.07881,0.116365,0.167055,6.51062,Direct,2.9321,2.9321,-6.97051,0.149492
188,CsBa0.5Pb0.5I3,2x2x2,6.59804,Indirect,2.294,2.3042,-6.63641,0.221591,4.1523,4.98019,0.0944349,0.161991,6.54374,Direct,3.0768,3.0768,-7.22715,0.362851
189,CsBa0.625Pb0.375I3,2x2x2,6.645,Direct,3.136,3.1368,-7.04321,0.236039,3.81043,4.77707,0.0190308,0.0317301,6.60104,Direct,3.9657,3.9657,-7.82589,0.234113
190,CsBa0.75Pb0.25I3,2x2x2,6.69363,Direct,3.368,3.368,-7.4447,0.255805,3.6242,4.66409,0.0152402,0.0188356,6.66784,Direct,4.1981,4.1981,-8.26297,0.267034
191,CsBa0.875Pb0.125I3,2x2x2,6.74087,Indirect,3.359,3.3844,-7.85704,0.264714,3.4339,4.46467,0.0116372,0.0176083,6.74087,Direct,4.2147,4.2147,-8.7025,0.297497
192,MABa0.125Pb0.875I3,2x2x2,6.49905,Direct,1.892,1.8929,-5.45437,0.0678814,5.138,5.30656,0.173674,0.247945,6.54363,Direct,2.9111,2.9111,-6.18003,0.459971
193,MABa0.25Pb0.75I3,2x2x2,6.54293,Direct,1.998,1.9982,-5.85943,0.0840666,4.74003,5.21665,0.15542,0.226063,6.57611,Direct,3.0329,3.0329,-6.63619,0.473812
194,MABa0.375Pb0.625I3,2x2x2,6.58344,Direct,2.276,2.276,-6.26951,0.0952422,4.31827,5.06677,0.105434,0.167948,6.54973,Indirect,3.1834,3.1922,-7.09424,0.485759
195,MABa0.5Pb0.5I3,2x2x2,6.60482,Indirect,2.348,2.3673,-6.67669,0.109306,4.13483,4.99248,0.0902197,0.148086,6.56368,Indirect,3.1671,3.1827,-7.5391,0.510903
196,MABa0.625Pb0.375I3,2x2x2,6.65269,Direct,3.067,3.0673,-7.09793,0.109319,3.81147,4.80248,0.025118,0.03842,6.60417,Direct,3.9058,3.9058,-8.00523,0.514766
197,MABa0.75Pb0.25I3,2x2x2,6.7152,Indirect,2.724,2.77,-7.52879,0.0997133,3.59723,4.67803,0.0359908,0.073738,6.69424,Indirect,3.6625,3.679,-8.47505,0.514951
198,MABa0.875Pb0.125I3,2x2x2,6.78858,Indirect,3.095,3.1354,-7.9636,0.0861472,3.37473,4.45512,0.0155896,0.0312561,6.75139,Direct,4.0328,4.0328,-8.94125,0.51875
199,FABa0.125Pb0.875I3,2x2x2,6.60579,Indirect,2.104,2.105,-5.47095,-0.417703,4.82793,5.23555,0.149361,0.203245,6.62785,Indirect,2.9785,2.9933,-6.17938,-0.459379
200,FABa0.25Pb0.75I3,2x2x2,6.61803,Direct,2.35,2.3501,-5.93805,-0.463552,4.58523,5.16934,0.120259,0.15305,6.62316,Direct,3.2112,3.2112,-6.71218,-0.522179
201,FABa0.375Pb0.625I3,2x2x2,6.64953,Direct,2.29,2.2938,-6.35308,-0.457326,4.36893,5.10381,0.11728,0.164201,6.65079,Indirect,3.1655,3.1703,-7.16342,-0.503416
202,FABa0.5Pb0.5I3,2x2x2,6.67373,Indirect,2.386,2.3935,-6.78401,-0.467008,4.085,4.96541,0.0734955,0.143805,6.63094,Indirect,3.2812,3.2838,-7.63842,-0.508418
203,FABa0.625Pb0.375I3,2x2x2,6.71772,Indirect,2.496,2.4977,-7.24111,-0.502856,3.85673,4.86382,0.0649188,0.124921,6.69297,Indirect,3.4262,3.4285,-8.12259,-0.522592
204,FABa0.75Pb0.25I3,2x2x2,6.73442,Indirect,3.201,3.2907,-7.6638,-0.504304,3.67127,4.68813,0.0169849,0.0221825,6.6931,Direct,4.0936,4.0936,-8.58083,-0.510832
205,FABa0.875Pb0.125I3,2x2x2,6.7765,Indirect,3.192,3.2609,-8.09126,-0.510511,3.4867,4.48831,0.0144298,0.0242598,6.74827,Indirect,4.1081,4.1178,-9.03142,-0.491416
206,CsCa0.25Sr0.25Sn0.25Pb0.25I3,2x2x2,6.3595,Direct,2.731,2.7319,-6.47777,0.0644803,4.35577,4.95488,0.0538766,0.0815102,6.28317,Direct,3.1683,3.1683,-7.1178,0.0572019
207,CsCa0.125Ba0.75Sn0.125I3,2x2x2,6.66787,Direct,2.903,2.9033,-7.74432,0.252551,3.53807,4.57782,0.029932,0.0580194,6.66787,Direct,3.5284,3.5284,-8.54891,0.286087
208,CsSr0.25Ba0.125Ge0.125Sn0.375Pb0.125I3,2x2x2,6.39334,Direct,1.672,1.6723,-5.96062,0.0897549,5.09997,5.17191,0.193317,0.290339,6.345,Indirect,2.05,2.2323,-6.51056,0.0931947
209,CsCa0.5Ge0.25Sn0.125Pb0.125Br3,2x2x2,5.79236,Direct,3.116,3.116,-7.93751,-0.150388,3.92383,4.67815,0.0171343,0.0328418,5.72214,Direct,3.7054,3.7054,-8.56091,-0.16091
210,CsSr0.25Ba0.625Sn0.125Br3,2x2x2,6.21821,Indirect,3.349,3.4411,-9.54275,0.176123,3.09403,4.19964,0.00816239,0.0146031,6.20364,Indirect,4.0968,4.126,-10.3756,0.208107
211,CsCa0.125Sr0.125Ba0.25Ge0.375Pb0.125Br3,2x2x2,5.93478,Direct,3.054,3.0549,-7.86255,0.020954,3.7877,4.63821,0.0186453,0.0392472,5.8433,Direct,3.5718,3.5718,-8.46372,0.0537763
212,CsCa0.125Ba0.125Ge0.25Sn0.5Br3,2x2x2,5.87984,Direct,1.502,1.5025,-6.95652,-0.104272,5.35,5.22162,0.218546,0.314402,5.87331,Direct,2.1322,2.1322,-7.42945,-0.0857013
213,CsCa0.25Ba0.125Ge0.25Pb0.375Cl3,2x2x2,5.62227,Direct,2.387,2.3872,-8.74997,1.53153,3.65447,4.71636,0.0800286,0.146015,5.58334,Direct,3.2362,3.2362,-9.11066,1.66059
214,CsCa0.125Sr0.125Ge0.375Sn0.25Pb0.125Cl3,2x2x2,5.53672,Direct,1.951,1.9512,-8.11619,1.40806,4.3303,5.05834,0.150021,0.235874,5.52644,Direct,2.7063,2.7063,-8.3588,1.5637
215,CsCa0.375Sr0.375Ba0.25Cl3,2x2x2,5.71465,Direct,4.951,4.9519,-11.4155,1.64727,2.80753,3.14245,0.0,0.0,5.71465,Direct,6.2465,6.2465,-12.0315,1.72725
216,FASr0.25Ba0.25Ge0.125Sn0.25Pb0.125I3,2x2x2,6.55892,Indirect,2.647,2.6526,-6.38727,-0.390273,4.27703,5.01353,0.0619156,0.0959075,6.47108,Direct,3.0865,3.0865,-7.10954,-0.405791
217,FABa0.125Ge0.25Sn0.125Pb0.5I3,2x2x2,6.53487,Direct,1.633,1.6332,-5.1807,-0.436329,5.13727,5.254,0.189833,0.298129,6.6309,Indirect,2.8292,2.8421,-5.74357,-0.436069
218,KSr0.375Ge0.25Sn0.25Pb0.125I3,2x2x2,6.278,Direct,1.445,1.4454,-5.3486,2.9419,5.20817,5.19495,0.197595,0.322092,6.24387,Indirect,1.6783,1.8621,-5.88318,2.95682
219,KCa0.25Sr0.125Ge0.25Pb0.375I3,2x2x2,6.23494,Direct,1.543,1.5433,-5.40633,2.96592,5.1525,5.18112,0.192797,0.310113,6.21205,Direct,2.1675,2.1675,-5.98505,2.96995
220,KSr0.25Ge0.625Pb0.125I3,2x2x2,6.13338,Direct,1.283,1.2831,-4.73796,2.93329,6.66617,5.36775,0.24903,0.322097,6.14689,Direct,1.8017,1.8017,-5.16175,2.947
221,KCa0.125Sr0.25Ge0.25Sn0.125Pb0.25I3,2x2x2,6.2558,Direct,1.552,1.5527,-5.37812,2.95326,5.14073,5.19148,0.19283,0.308316,6.22565,Indirect,1.8844,2.0075,-5.93434,2.96316
222,KCa0.25Sr0.25Ba0.125Ge0.125Pb0.25Br3,2x2x2,5.9246,Direct,3.313,3.3131,-8.04562,0.411882,3.39113,4.43157,0.0101279,0.0217977,5.88947,Direct,4.027,4.027,-8.76654,0.438463
223,KSr0.125Ba0.125Ge0.125Sn0.125Pb0.5Br3,2x2x2,5.95484,Direct,1.576,1.5769,-6.72873,0.383648,4.3011,5.07825,0.142708,0.304407,5.94911,Direct,2.3454,2.3454,-7.31372,0.412529
224,KSr0.125Ba0.5Sn0.25Pb0.125Br3,2x2x2,6.13493,Indirect,2.986,3.0677,-8.0397,0.601296,3.28627,4.53155,0.0184923,0.0371834,6.09445,Direct,3.6298,3.6298,-8.75969,0.656564
225,KCa0.125Sr0.25Ba0.125Ge0.5Br3,2x2x2,5.79405,Direct,3.042,3.0429,-7.28,0.359746,3.79017,4.69859,0.0199193,0.0408609,5.7031,Direct,3.5184,3.5184,-7.8552,0.398545
226,KSr0.125Ba0.375Ge0.125Sn0.125Pb0.25Br3,2x2x2,6.04249,Indirect,2.93,3.166,-7.55813,0.521746,3.4773,4.54517,0.0139761,0.0275676,5.95273,Indirect,3.4537,3.6335,-8.22886,0.564889
227,KBa0.25Ge0.625Sn0.125Cl3,2x2x2,5.5202,Direct,1.711,1.7112,-7.37622,2.76516,4.33373,5.069,0.169762,0.283928,5.50983,Direct,2.4061,2.4061,-7.5639,2.9611
228,KCa0.375Sr0.125Ba0.125Ge0.125Sn0.125Pb0.125Cl3,2x2x2,5.58283,Direct,3.345,3.345,-9.29925,2.80238,3.0639,4.14907,0.00439667,0.0201621,5.55004,Direct,4.0655,4.0655,-9.73569,2.87431
229,KSr0.125Ba0.125Ge0.25Sn0.25Pb0.25Cl3,2x2x2,5.61518,Direct,1.958,1.9585,-7.71125,2.79075,3.94367,4.99454,0.147537,0.233719,5.60565,Direct,2.7044,2.7044,-7.97665,2.90335
230,KCa0.75Ba0.25Cl3,2x2x2,5.57213,Direct,4.485,4.4857,-10.9033,2.82466,2.71437,3.18603,0.0,0.0,5.57213,Direct,5.7679,5.7679,-11.5103,2.8622
231,MACa0.125Sn0.75Pb0.125I3,2x2x2,6.3609,Direct,1.038,1.0389,-5.14746,-0.0819643,6.99253,5.39954,0.21988,0.308291,6.51579,Indirect,2.6764,2.8095,-5.59548,0.429519
232,MACa0.125Sr0.5Ba0.125Pb0.25I3,2x2x2,6.50522,Indirect,2.924,3.0187,-7.361,0.0769974,3.75487,4.67128,0.0239235,0.0417151,6.47157,Indirect,3.7586,3.8604,-8.28065,0.46435
233,MABa0.25Ge0.125Sn0.625I3,2x2x2,6.47602,Direct,1.476,1.4763,-5.49054,-0.000165376,5.3944,5.23818,0.221255,0.31807,6.49382,Indirect,2.2962,2.3217,-6.07234,0.426415
234,MACa0.25Sr0.25Ba0.125Pb0.375Br3,2x2x2,6.05668,Indirect,3.661,3.6918,-8.65871,-0.0374569,3.40297,4.32185,0.00313475,0.00574826,6.0044,Direct,4.4124,4.4124,-9.54715,-0.0458968
235,MACa0.375Ge0.5Pb0.125Br3,2x2x2,5.88573,Direct,2.182,2.1829,-7.20866,-0.10116,4.08427,4.88137,0.0930175,0.186901,5.84538,Direct,3.1339,3.1339,-7.8499,-0.0873996
236,MACa0.125Sr0.25Ba0.125Sn0.125Pb0.375Br3,2x2x2,6.07358,Direct,3.193,3.1936,-8.18918,-0.0408001,3.54087,4.48728,0.0124785,0.0283277,6.00403,Direct,3.7528,3.7529,-9.00122,-0.0299728
237,MACa0.5Ba0.125Sn0.25Pb0.125Br3,2x2x2,5.984,Indirect,3.303,3.3059,-8.49613,-0.066127,3.55537,4.56841,0.0144771,0.0221819,5.93069,Direct,3.9511,3.9512,-9.31907,-0.0603165
238,MACa0.5Ba0.125Pb0.375Cl3,2x2x2,5.71913,Indirect,4.342,4.3468,-9.89288,-0.0878821,3.10917,3.60675,0.0,0.0,5.6723,Direct,5.2918,5.2918,-10.5015,-0.0727335
239,MACa0.25Sr0.25Ge0.375Pb0.125Cl3,2x2x2,5.64737,Direct,3.823,3.8237,-8.96987,-0.0676161,3.33227,4.175,0.00118487,0.00206152,5.57228,Direct,4.66,4.66,-9.41707,0.0516809
240,MASr0.25Ba0.125Ge0.375Sn0.25Cl3,2x2x2,5.74834,Direct,2.718,2.7239,-8.51871,-0.137208,3.43643,4.61965,0.0349201,0.0833982,5.70249,Indirect,3.6576,3.6934,-8.90665,-0.0266472
241,MACa0.125Sn0.5Pb0.375Cl3,2x2x2,5.7403,Direct,2.008,2.0085,-7.86144,-0.208941,4.0333,5.02157,0.123381,0.223945,5.78151,Direct,3.5808,3.5808,-8.18516,-0.142657
242,RbSr0.125Sn0.25Pb0.625I3,2x2x2,6.35461,Direct,1.279,1.2798,-5.09789,2.47361,6.473,5.40603,0.234664,0.321667,6.40846,Direct,1.9178,1.9179,-5.59005,2.48745
243,RbCa0.125Sr0.25Sn0.125Pb0.5I3,2x2x2,6.36448,Direct,1.683,1.683,-5.87185,2.51702,4.93603,5.13265,0.186256,0.288233,6.34456,Direct,2.2445,2.2445,-6.49385,2.49615
244,RbCa0.125Sr0.25Ba0.25Sn0.25Pb0.125I3,2x2x2,6.46596,Direct,2.602,2.602,-6.56141,2.60359,3.97793,4.88554,0.05238,0.105389,6.42928,Direct,3.0359,3.0359,-7.23552,2.60448
245,RbGe0.75Sn0.125Pb0.125I3,2x2x2,6.05375,Direct,0.544,0.5448,-4.10729,2.41484,13.5588,5.62169,0.119586,0.155562,6.16549,Direct,1.2472,1.2472,-4.29538,2.47712
246,RbSr0.5Ge0.125Sn0.25Pb0.125I3,2x2x2,6.35381,Direct,2.737,2.7374,-6.09548,2.51952,4.28903,4.974,0.0523889,0.0805854,6.26654,Direct,3.2074,3.2074,-6.68252,2.51623
247,RbCa0.25Ge0.25Sn0.375Pb0.125Br3,2x2x2,5.77813,Direct,1.539,1.5395,-6.78686,-0.0124891,5.36433,5.22868,0.22171,0.310704,5.78778,Direct,2.2064,2.2064,-7.26931,0.000693444
248,RbSr0.25Ba0.25Sn0.125Pb0.375Br3,2x2x2,6.06627,Indirect,3.149,3.1839,-7.94163,0.258999,3.43463,4.42763,0.0118647,0.0284209,5.98043,Direct,3.6573,3.6573,-8.62053,0.291973
249,RbSr0.25Ba0.25Ge0.25Pb0.25Br3,2x2x2,5.98601,Direct,3.3,3.3,-7.72753,0.261968,3.56143,4.5356,0.0122741,0.0224435,5.89498,Direct,3.8671,3.8671,-8.36267,0.294833
250,RbCa0.375Ge0.125Pb0.5Br3,2x2x2,5.83713,Direct,2.208,2.2081,-7.4593,0.0344493,4.1281,4.92012,0.1216,0.182207,5.80873,Direct,2.888,2.888,-8.09171,0.0295432
251,RbCa0.125Sr0.5Pb0.375Br3,2x2x2,5.96533,Direct,3.803,3.8035,-8.46402,0.153477,3.3328,4.19275,0.00113879,0.00257751,5.92579,Direct,4.5032,4.5032,-9.21639,0.151108
252,RbCa0.5Sr0.25Ge0.125Sn0.125Cl3,2x2x2,5.51041,Direct,3.738,3.7382,-10.0728,-0.0189729,3.06657,4.13986,0.001421,0.00441038,5.48291,Direct,4.4997,4.4997,-10.5411,0.023888
253,RbCa0.25Sr0.125Ge0.125Sn0.25Pb0.25Cl3,2x2x2,5.56504,Direct,2.436,2.4364,-8.5861,-0.0173518,3.6174,4.80228,0.0878893,0.136311,5.53083,Direct,3.2691,3.2691,-8.91744,0.0350557
254,RbCa0.125Ba0.625Ge0.125Sn0.125Cl3,2x2x2,5.84695,Direct,3.14,3.1408,-9.83543,0.454942,2.88587,4.13375,0.00736369,0.0314413,5.82361,Direct,3.8759,3.8759,-10.3073,0.536406
255,RbBa0.75Sn0.25Cl3,2x2x2,5.93573,Indirect,3.285,3.6518,-9.94257,0.498683,2.8397,4.22798,0.00326283,0.00612889,5.91025,Indirect,4.0563,4.5024,-10.4365,0.553477
256,RbCa0.375Ba0.25Ge0.375Cl3,2x2x2,5.56843,Direct,3.53,3.5308,-9.23205,0.172702,3.1972,4.2218,0.00448448,0.0114861,5.53328,Direct,4.2559,4.2559,-9.61656,0.284692
257,KSr0.625Ba0.25Pb0.125I3,2x2x2,6.5117,Direct,3.105,3.1052,-7.25573,3.02902,3.4733,4.49799,0.0139187,0.033911,6.5117,Direct,4.062,4.0621,-8.07644,3.06106
258,KCa0.5Ba0.125Ge0.375Cl3,2x2x2,5.45986,Direct,3.805,3.8059,-9.11817,2.71058,3.2059,4.1695,0.00103854,0.00242125,5.42728,Direct,4.6029,4.6029,-9.50344,2.83656
259,FABa0.125Ge0.125Sn0.75I3,2x2x2,6.5203,Direct,1.257,1.2574,-5.08554,-0.55179,5.98617,5.30433,0.218502,0.322378,6.63699,Direct,2.7725,2.7725,-5.56692,-0.548172
260,FASr0.375Ba0.125Pb0.5Br3,2x2x2,6.21096,Indirect,3.629,3.6549,-8.17917,-0.614171,3.48557,4.39627,0.00390533,0.00690009,6.1012,Direct,4.4184,4.4184,-9.02613,-0.643631
261,FABa0.375Ge0.25Pb0.375Br3,2x2x2,6.25227,Direct,2.834,2.8342,-7.52801,-0.630264,3.59013,4.63442,0.0311956,0.0659312,6.1012,Direct,3.8938,3.8938,-8.316,-0.687246
262,FACa0.25Sr0.125Pb0.625Br3,2x2x2,6.17305,Direct,2.817,2.8178,-7.69331,-0.69056,3.67533,4.68924,0.0406617,0.0675194,6.1393,Indirect,3.738,3.8675,-8.4577,-0.696453
263,FABa0.5Ge0.125Sn0.25Pb0.125Br3,2x2x2,6.23209,Indirect,3.193,3.197,-7.96599,-0.563487,3.61917,4.64587,0.0177651,0.028074,6.10484,Direct,3.7436,3.7436,-8.89946,-0.72571
264,MASr0.25Ba0.25Ge0.375Sn0.125I3,2x2x2,6.40917,Indirect,2.613,2.6144,-6.15648,0.1334,4.43787,5.04814,0.0645702,0.103267,6.32284,Direct,3.0204,3.0204,-6.84425,0.547002
265,MACa0.125Sr0.125Ba0.125Ge0.125Pb0.5I3,2x2x2,6.46773,Direct,1.985,1.9858,-6.06662,0.0853777,4.4931,5.07215,0.127772,0.228608,6.441,Direct,2.8399,2.8399,-6.80778,0.49347
266,MACa0.25Ba0.375Sn0.25Pb0.125Br3,2x2x2,6.11816,Indirect,2.982,2.9875,-8.52673,0.0377686,3.44157,4.55376,0.0195879,0.0467099,6.05577,Direct,3.4893,3.4893,-9.36873,0.0525194
267,MACa0.125Ge0.375Sn0.5Cl3,2x2x2,5.69004,Direct,2.043,2.0432,-7.45568,-0.249428,4.0241,5.01001,0.131423,0.216194,5.73893,Direct,3.36,3.36,-7.76102,-0.187274
268,FACa0.375Ge0.375Pb0.25I3,2x2x2,6.45465,Indirect,2.056,2.0602,-5.74556,-0.389061,4.48033,5.05296,0.116329,0.212049,6.46468,Indirect,2.9514,3.0127,-6.38348,-0.432233
269,CsBa0.125Ge0.875I3,2x2x2,6.11124,Direct,1.035,1.0359,-4.62816,0.117339,9.2944,5.51066,0.251798,0.308082,6.15273,Direct,1.605,1.605,-4.91502,0.13623
270,CsSn0.5Pb0.5I3,2x2x2,6.33413,Direct,0.963,0.9631,-4.94825,-0.0407545,8.1802,5.50843,0.210861,0.302199,6.42729,Direct,1.6539,1.6539,-5.34573,0.00427298
271,CsSr0.125Ba0.875Br3,2x2x2,6.30961,Direct,3.976,3.9762,-10.037,0.249991,2.9009,3.49605,3.08707e-05,0.000260973,6.30961,Direct,5.1008,5.1008,-10.9413,0.291174
272,CsBa0.875Sn0.125Cl3,2x2x2,6.00435,Indirect,3.584,3.9331,-10.7755,1.96663,2.7936,3.96242,0.000350335,0.000523961,6.00435,Indirect,4.4177,4.7129,-11.3458,2.07417
273,FAGe0.5Pb0.5Br3,2x2x2,6.13864,Direct,2.021,2.0213,-6.02969,-0.850691,4.52933,5.1422,0.157076,0.221227,6.25819,Indirect,3.7607,3.7816,-6.53232,-0.837315
274,KCa0.875Ge0.125I3,2x2x2,6.15444,Indirect,3.063,3.0823,-7.02649,2.89251,3.9296,4.64279,0.0257375,0.0364226,6.15444,Indirect,3.9002,3.9162,-7.75894,2.90481
275,KCa0.875Ba0.125I3,2x2x2,6.25824,Direct,3.201,3.2019,-7.51131,2.95019,3.5815,4.20108,0.00605668,0.0278806,6.25824,Direct,4.1623,4.1623,-8.32586,2.96914
276,KSn0.875Pb0.125Br3,2x2x2,5.85946,Direct,0.672,0.6721,-5.79374,0.174635,8.891,5.42065,0.133282,0.210898,5.95346,Direct,1.4921,1.4921,-6.12782,0.269684
277,KBa0.5Pb0.5Br3,2x2x2,6.14219,Indirect,3.383,3.7482,-7.73229,0.565709,3.32183,4.30758,0.00198275,0.00360825,6.05277,Indirect,4.0646,4.5346,-8.46292,0.612079
278,KCa0.5Ba0.5Br3,2x2x2,6.01076,Direct,3.681,3.6814,-9.48481,0.479194,2.9535,3.6802,0.000787767,0.00612076,6.01076,Direct,4.8118,4.8118,-10.3631,0.521902
279,KBa0.875Ge0.125Cl3,2x2x2,5.94865,Indirect,3.696,4.0007,-10.108,3.31223,2.6749,3.906,7.50639e-05,0.000131533,5.93985,Indirect,4.5807,4.9326,-10.6648,3.41024
280,KSr0.125Ge0.875Cl3,2x2x2,5.3274,Direct,1.361,1.3612,-6.88743,2.46357,5.5859,5.28241,0.211139,0.329603,5.35351,Direct,2.1302,2.1302,-6.97339,2.71911
281,KSr0.875Ba0.125Cl3,2x2x2,5.73009,Direct,4.363,4.3631,-10.9469,2.95988,2.6003,3.17515,0.0,0.0,5.73009,Direct,5.6418,5.6418,-11.5626,3.00989
282,MACa0.125Sn0.875I3,2x2x2,6.35679,Direct,0.992,0.9929,-5.10519,-0.106068,7.2473,5.40688,0.218579,0.304776,6.55171,Indirect,2.8925,2.9693,-5.53034,0.404656
283,MASr0.5Ge0.5I3,2x2x2,6.31544,Indirect,2.616,2.7783,-6.0445,0.124505,4.5513,5.06764,0.056608,0.0689709,6.23268,Direct,3.4319,3.4319,-6.70854,0.526458
284,MASr0.5Sn0.5Br3,2x2x2,6.03801,Direct,3.26,3.2603,-8.04826,-0.0577628,3.6596,4.70394,0.0187381,0.0248899,5.96027,Direct,3.942,3.942,-8.78242,-0.037417
285,MABa0.125Pb0.875Br3,2x2x2,6.08918,Direct,2.242,2.2425,-6.99143,-0.114679,4.27623,5.08983,0.112067,0.174684,6.10658,Indirect,3.4887,3.4936,-7.67074,-0.0669902
286,MACa0.5Pb0.5Cl3,2x2x2,5.68523,Indirect,4.332,4.3408,-9.41411,-0.134106,3.22387,3.6858,0.0,0.0,5.63391,Direct,5.3219,5.3219,-9.97837,-0.118371
287,RbGe0.875Sn0.125I3,2x2x2,6.00234,Direct,0.428,0.4282,-4.01183,2.38904,17.5722,5.643,0.0785358,0.0973728,6.11653,Direct,1.1452,1.1452,-4.16875,2.4425
288,RbBa0.5Sn0.5I3,2x2x2,6.52562,Direct,2.911,2.9118,-6.14274,2.59276,4.1786,4.98212,0.0476805,0.0563418,6.42021,Direct,3.3389,3.3389,-6.7334,2.6166
289,RbCa0.125Sr0.875I3,2x2x2,6.42537,Direct,3.305,3.3055,-7.89672,2.49978,3.3961,4.04127,0.0042772,0.022198,6.42537,Direct,4.2726,4.2726,-8.72736,2.49014
290,RbCa0.875Sn0.125Br3,2x2x2,5.75898,Indirect,3.42,3.6272,-9.25551,-0.018387,3.3151,4.21847,0.00514207,0.00737535,5.74112,Indirect,4.2034,4.3261,-10.0405,-0.0204626
